,date,type,source,mean,std
10252,2021-02-21,65,13,77.6020942408377,13.041988700933706
10284,2021-02-22,65,2,64.42425928501878,7.552792986132459
10285,2021-02-22,65,3,56.95455040397221,8.680581842582306
10286,2021-02-22,65,6,60.111273129525344,8.370045518205844
10287,2021-02-22,65,7,62.385245901639344,9.74152549167482
10288,2021-02-22,65,9,60.44051825677268,9.11982899308801
10289,2021-02-22,65,13,76.44262295081967,11.439075968643335
10321,2021-02-23,65,2,64.24360647543942,7.563459983638956
10322,2021-02-23,65,3,56.992854668283385,8.779972952021497
10323,2021-02-23,65,6,60.23491601175082,8.417008577285543
10324,2021-02-23,65,7,62.421461897356146,9.761548303105274
10325,2021-02-23,65,9,60.34470989761092,9.729516940078318
10326,2021-02-23,65,13,74.8974358974359,11.550512030256895
10358,2021-02-24,65,2,64.2400011133068,7.577781686212655
10359,2021-02-24,65,3,57.34608808570501,8.819595906574985
10360,2021-02-24,65,6,60.539061713480315,8.430834208318641
10361,2021-02-24,65,7,62.61550387596899,9.572431053563033
10362,2021-02-24,65,9,60.5098493626883,9.427194844994746
10363,2021-02-24,65,13,75.7071129707113,11.279023794836808
10395,2021-02-25,65,2,64.30261588393576,7.59955336621936
10396,2021-02-25,65,3,57.33655576026877,8.716941649429732
10397,2021-02-25,65,6,60.47626123970481,8.387526235324396
10398,2021-02-25,65,7,62.94180704441041,10.208244943561146
10399,2021-02-25,65,9,60.2296047098402,9.561440426286843
10400,2021-02-25,65,13,75.23430962343096,12.37184365334133
10432,2021-02-26,65,2,64.27243724288473,7.580551466424397
10433,2021-02-26,65,3,56.9493698582181,8.554501934969771
10434,2021-02-26,65,6,59.77736296445779,8.141189835456686
10435,2021-02-26,65,7,62.02843601895734,9.580396664020045
10436,2021-02-26,65,9,60.15902578796562,9.675698275305338
10437,2021-02-26,65,13,75.16535433070867,10.205217436068267
10469,2021-02-27,65,2,64.25962580571559,7.578390846560942
10470,2021-02-27,65,3,57.48721429196952,8.7571199064704
10471,2021-02-27,65,6,59.91147350029121,8.388995600519833
10472,2021-02-27,65,7,62.3876582278481,10.422761248112044
10473,2021-02-27,65,9,60.18129907209136,9.573995659213287
10474,2021-02-27,65,13,75.98744769874477,12.02814667211664
10506,2021-02-28,65,2,64.21555447498642,7.570472836403231
10507,2021-02-28,65,3,57.52946411130163,8.949871311100523
10508,2021-02-28,65,6,59.78661789361378,8.326369470607572
10509,2021-02-28,65,7,62.149108589951375,9.56507802102283
10510,2021-02-28,65,9,60.58998646820027,9.928639486759648
10511,2021-02-28,65,13,74.55186721991701,10.897171203985126
10543,2021-03-01,65,2,64.03191429693196,7.59260389376387
10544,2021-03-01,65,3,56.42135544277214,8.570930978722448
10545,2021-03-01,65,6,59.732643040679775,8.381270576513678
10546,2021-03-01,65,7,62.02950310559006,9.937474781876219
10547,2021-03-01,65,9,59.8950097213221,9.080665724310244
10548,2021-03-01,65,13,75.4,12.679260087388236
10580,2021-03-02,65,2,63.91487815783591,7.624220644218978
10581,2021-03-02,65,3,56.708207545120864,8.766003216785656
10582,2021-03-02,65,6,60.03501261371455,8.433966731539982
10583,2021-03-02,65,7,62.261941448382125,10.005204660527218
10584,2021-03-02,65,9,60.07179487179487,9.595004813260424
10585,2021-03-02,65,13,75.98412698412699,12.825201862756943
10618,2021-03-03,65,2,63.98173964264677,7.621382617452627
10619,2021-03-03,65,3,56.92711376618846,8.619408153170511
10620,2021-03-03,65,6,60.175116735985306,8.41341711153985
10621,2021-03-03,65,7,62.89235569422777,9.992307396106463
10622,2021-03-03,65,9,60.24710424710425,9.030573810193184
10623,2021-03-03,65,13,76.55555555555556,13.095150135093768
10655,2021-03-04,65,2,64.06961900745115,7.625550243421541
10656,2021-03-04,65,3,56.84616061412577,8.555450014025197
10657,2021-03-04,65,6,59.9859828622586,8.354543167250108
10658,2021-03-04,65,7,62.89984591679507,9.466680521686497
10659,2021-03-04,65,9,60.18865519439133,8.945418322717263
10660,2021-03-04,65,13,74.79282868525897,11.653193054546632
10692,2021-03-05,65,2,64.07454099331585,7.6470909873259405
10693,2021-03-05,65,3,56.789501450804536,8.560602090700359
10694,2021-03-05,65,6,59.79971310740542,8.34362269483859
10695,2021-03-05,65,7,62.39685039370079,9.34832376721958
10696,2021-03-05,65,9,59.75911949685535,9.042196819768737
10697,2021-03-05,65,13,74.1,11.651679871830346
10729,2021-03-06,65,2,64.1399020141535,7.610876713175537
10730,2021-03-06,65,3,57.53902294693931,8.766782153665808
10731,2021-03-06,65,6,60.19896674034853,8.535401152277707
10732,2021-03-06,65,7,62.93606557377049,9.588966921911815
10733,2021-03-06,65,9,60.790170132325144,9.835184242723312
10734,2021-03-06,65,13,75.23275862068965,12.449974536124232
10766,2021-03-07,65,2,64.18031270772521,7.607419615649542
10767,2021-03-07,65,3,57.56493832551032,8.82906855525398
10768,2021-03-07,65,6,59.936916490431734,8.411350900338634
10769,2021-03-07,65,7,62.21869782971619,9.47734056867718
10770,2021-03-07,65,9,60.490438001233805,9.570566432822748
10771,2021-03-07,65,13,73.52073732718894,10.768643755957415
10803,2021-03-08,65,2,64.04072603516732,7.604028656284491
10804,2021-03-08,65,3,56.50588001676853,8.528087809989058
10805,2021-03-08,65,6,59.87975222609369,8.507173440021457
10806,2021-03-08,65,7,62.193708609271525,9.189396161453232
10807,2021-03-08,65,9,59.98579881656805,9.139393493174982
10808,2021-03-08,65,13,75.36475409836065,12.70632791466858
10840,2021-03-09,65,2,63.97746614266731,7.6452737278810545
10841,2021-03-09,65,3,56.549546560495465,8.618313796370192
10842,2021-03-09,65,6,59.92271729303887,8.478756429391883
10843,2021-03-09,65,7,62.10552763819096,8.969219527035278
10844,2021-03-09,65,9,59.944603083952025,9.102578174785533
10845,2021-03-09,65,13,74.80973451327434,11.823295006811444
10877,2021-03-10,65,2,64.04263445271168,7.654892102970776
10878,2021-03-10,65,3,56.965233686067016,8.647841477993728
10879,2021-03-10,65,6,60.26289862587503,8.48787243838294
10880,2021-03-10,65,7,62.94285714285714,9.773190252688613
10881,2021-03-10,65,9,60.40284619594964,9.309792545473217
10882,2021-03-10,65,13,76.62,12.421464128046152
10914,2021-03-11,65,2,64.1950660593544,7.688332167816564
10915,2021-03-11,65,3,57.065670178877724,8.50538912189115
10916,2021-03-11,65,6,60.49198888571503,8.545162860613512
10917,2021-03-11,65,7,62.588135593220336,9.36171056492602
10918,2021-03-11,65,9,60.74585635359116,9.539858310541824
10919,2021-03-11,65,13,74.15261044176707,12.549290045979347
10951,2021-03-12,65,2,64.23970855069177,7.687907206660458
10952,2021-03-12,65,3,57.151072448369746,8.648452503752686
10953,2021-03-12,65,6,60.250292610606806,8.434144754964873
10954,2021-03-12,65,7,62.841750841750844,9.520469168360746
10955,2021-03-12,65,9,60.727173318753415,9.490720432923831
10956,2021-03-12,65,13,75.82304526748972,12.474998293529431
10988,2021-03-13,65,2,64.38917123881028,7.667966935229007
10989,2021-03-13,65,3,57.73025155688489,8.727546561013819
10990,2021-03-13,65,6,60.43115147718969,8.626177920721812
10991,2021-03-13,65,7,63.66034482758621,10.296643980233204
10992,2021-03-13,65,9,60.99507927829415,9.51656840681153
10993,2021-03-13,65,13,74.72246696035242,9.350953625710414
11025,2021-03-14,65,2,64.3940588853838,7.660319520321502
11026,2021-03-14,65,3,57.62472357363998,8.879970670023717
11027,2021-03-14,65,6,60.0771950037969,8.43887942823044
11028,2021-03-14,65,7,62.63130434782609,8.952433002155454
11029,2021-03-14,65,9,60.66391639163916,9.21986241298126
11030,2021-03-14,65,13,74.87610619469027,13.927515687133123
11062,2021-03-15,65,2,64.22137903592542,7.671069931421935
11063,2021-03-15,65,3,56.59954350042104,8.639483351994345
